# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
A04|Réti Açılışı|1...c5|Nf3 c5 g3 g6 Bg2 Bg7 O-O Nc6 d3
A04|Réti Açılışı|1...c5|Nf3 c5 g3 g6 Bg2 Bg7 O-O Nc6 d3 Nf6 e4
A04|Réti Açılışı|1...c5|Nf3 c5 g3 g6 Bg2 Bg7 O-O Nc6 d3 Nf6
A04|Réti Açılışı|1...c5|Nf3 c5 g3 g6 Bg2 Bg7 O-O Nc6 d3 d6 e4
A04|Réti Açılışı|1...c5|Nf3 c5 g3 g6 Bg2 Bg7 O-O Nc6 d3 e6 e4
A04|Réti Açılışı|1...c5|Nf3 c5 g3 Nc6
A04|Réti Açılışı|1...c5|Nf3 c5 g3 Nc6 Bg2
A04|Réti Açılışı|1...c5, Nimzowitsch-Larsen|Nf3 c5 b3
A04|Réti Açılışı|1...d6|Nf3 d6
A04|Réti Açılışı|1...e6|Nf3 e6
A04|Réti Açılışı|1...e6|Nf3 e6 g3
A04|Réti Açılışı|1...f5|Nf3 f5
A04|Réti Açılışı|1...f5 2.d3|Nf3 f5 d3
A04|Réti Açılışı|1...f5 2.d3 Nf6|Nf3 f5 d3 Nf6
A04|Réti Açılışı|1...f5 2.g3|Nf3 f5 g3
A04|Réti Açılışı|1...g6|Nf3 g6
A04|Réti Açılışı|1...g6|Nf3 g6 g3
A04|Réti Açılışı|1...g6|Nf3 g6 g3 Bg7
A04|Réti Açılışı|1...g6|Nf3 g6 g3 Bg7 Bg2
A04|Réti Açılışı|Ana Hat|Nf3
A04|Réti Açılışı|Herrström Gambit|Nf3 g5
A04|Réti Açılışı|Lisitsin|Nf3 f5 e4
A04|Réti Açılışı|Lisitsin Deferred|Nf3 f5 d3 Nf6 e4
A04|Réti Açılışı|Lisitsin: 3.Ng5 Nf6|Nf3 f5 e4 fxe4 Ng5 Nf6
A04|Réti Açılışı|Lisitsin: 3.Ng5 Nf6|Nf3 f5 e4 fxe4 Ng5 Nf6 d3 e5
A04|Réti Açılışı|Lisitsin: 3.Ng5 Nf6|Nf3 f5 e4 fxe4 Ng5 Nf6 d3 e3
A04|Réti Açılışı|Lisitsin: 3.Ng5 d5|Nf3 f5 e4 fxe4 Ng5 d5
A04|Réti Açılışı|Lisitsin: 3.Ng5 e5|Nf3 f5 e4 fxe4 Ng5 e5
A05|Réti Açılışı|1...Nf6|Nf3 Nf6
A05|Réti Açılışı|1...Nf6 2.b3|Nf3 Nf6 b3
A05|Réti Açılışı|1...Nf6 2.e3|Nf3 Nf6 e3
A05|Réti Açılışı|KIA|Nf3 Nf6 g3
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 c5
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 c5 Bg2
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 c5 Bg2 Nc6
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 b6
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 b6 Bg2
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 b6 Bg2 Bb7
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 g6
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 g6 Bg2
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 g6 Bg2 Bg7
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 g6 Bg2 Bg7 O-O
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 c5
A05|Réti Açılışı|KIA|Nf3 Nf6 g3 g6 Bg2 Bg7 O-O O-O d3 d6
A05|Réti Açılışı|KIA, Reti-Smyslov Variation|Nf3 Nf6 g3 g6 b4
A05|Réti Açılışı|KIA, Reti-Smyslov Variation|Nf3 Nf6 g3 g6 b4 Bg7 Bb2
A05|Réti Açılışı|KIA, Spassky|Nf3 Nf6 g3 b5
A05|Réti Açılışı|KIA, Spassky|Nf3 Nf6 g3 b5 Bg2
A05|Réti Açılışı|Santasiere's folly|Nf3 Nf6 b4
A06|Réti Açılışı|1...d5|Nf3 d5
A06|Réti Açılışı|1...d5 2.e3|Nf3 d5 e3
A06|Réti Açılışı|Ampel Variation|Nf3 d5 Rg1
A06|Réti Açılışı|Nimzowitsch-Larsen|Nf3 d5 b3
A06|Réti Açılışı|Nimzowitsch-Larsen, 2...Bg4|Nf3 d5 b3 Bg4
A06|Réti Açılışı|Nimzowitsch-Larsen, 2...Bg4|Nf3 d5 b3 Bg4 Bb2
A06|Réti Açılışı|Nimzowitsch-Larsen, 2...Bg4|Nf3 d5 b3 Bg4 Bb2 Nd7 e3
A06|Réti Açılışı|Nimzowitsch-Larsen, 2...Nf6|Nf3 d5 b3 Nf6
A06|Réti Açılışı|Nimzowitsch-Larsen, 2...Nf6|Nf3 d5 b3 Nf6 Bb2
A06|Réti Açılışı|Nimzowitsch-Larsen, 2...Nf6|Nf3 d5 b3 Nf6 Bb2 e6
A06|Réti Açılışı|Nimzowitsch-Larsen, 2...Nf6|Nf3 d5 b3 Nf6 Bb2 e6 e3
A06|Réti Açılışı|Nimzowitsch-Larsen, 2...c5|Nf3 d5 b3 c5
A06|Réti Açılışı|Old Indian Attack|Nf3 d5 d3
A06|Réti Açılışı|Old Indian Attack|Nf3 d5 d3 Nf6
A06|Réti Açılışı|Santasiere's folly|Nf3 d5 b4
A06|Réti Açılışı|Santasiere's folly|Nf3 d5 b4 Nf6
A06|Réti Açılışı|Tennison Gambit Accepted|Nf3 d5 e4 dxe4
A06|Réti Açılışı|Tennison/Zukertort Gambit|Nf3 d5 e4
A07|Réti Açılışı|KIA|Nf3 d5 g3
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nc6
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nc6 Bg2 e5
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nc6 Bg2 e5 d3 Nf6
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nc6 Bg2 e5 d3 Nf6 O-O
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nc6 Bg2 e5 d3 Nf6 O-O Be7
A07|Réti Açılışı|KIA|Nf3 d5 g3 c6
A07|Réti Açılışı|KIA|Nf3 d5 g3 Bg4
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nf6
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nf6 Bg2
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nf6 Bg2 Bf5
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nf6 Bg2 e6
A07|Réti Açılışı|KIA|Nf3 d5 g3 Nf6 Bg2 c6
A07|Réti Açılışı|KIA|Nf3 d5 g3 g6
A07|Réti Açılışı|KIA|Nf3 d5 g3 g6 Bg2
A07|Réti Açılışı|KIA, Keres Variation|Nf3 d5 g3 Bg4 Bg2 Nd7
A07|Réti Açılışı|KIA, Neo-Grünfeld|Nf3 d5 g3 Nf6 Bg2 g6
A07|Réti Açılışı|KIA, Pachman|Nf3 d5 g3 g6 Bg2 Bg7 O-O e5 d3 Ne7
A07|Réti Açılışı|KIA, Petrosian Variation|Nf3 d5 g3 Nf6 Bg2 c6 O-O Bf5 d3 e6 Nbd2
A07|Réti Açılışı|KIA, Yugoslav|Nf3 d5 g3 c6 Bg2 Bg4
A07|Réti Açılışı|KIA, Yugoslav|Nf3 d5 g3 c6 Bg2 Bg4 O-O
A07|Réti Açılışı|KIA, Yugoslav|Nf3 d5 g3 c6 Bg2 Bg4 O-O Nd7
A07|Réti Açılışı|KIA, Yugoslav|Nf3 d5 g3 c6 Bg2 Bg4 O-O Nd7 d3
A07|Réti Açılışı|KIA, Yugoslav|Nf3 d5 g3 Nf6 Bg2 c6 O-O Bg4
A07|Réti Açılışı|KIA, Yugoslav|Nf3 d5 g3 Nf6 Bg2 c6 O-O Bg4 d3
A07|Réti Açılışı|KIA, Yugoslav, Main Line|Nf3 d5 g3 Nf6 Bg2 c6 O-O Bg4 d3 Nbd7
A07|Réti Açılışı|KIA, Yugoslav, Main Line, 6.Nbd2|Nf3 d5 g3 Nf6 Bg2 c6 O-O Bg4 d3 Nbd7 Nbd2
A07|Réti Açılışı|KIA, Yugoslav, Main Line, 6.Nbd2 e5|Nf3 d5 g3 Nf6 Bg2 c6 O-O Bg4 d3 Nbd7 Nbd2 e5
A07|Réti Açılışı|KIA, Yugoslav, Main Line, 6.Nbd2 e6|Nf3 d5 g3 Nf6 Bg2 c6 O-O Bg4 d3 Nbd7 Nbd2 e6
A08|Réti Açılışı|KIA, 2...c5|Nf3 d5 g3 c5
A08|Réti Açılışı|KIA, 2...c5|Nf3 d5 g3 c5 Bg2
A08|Réti Açılışı|KIA, 2...c5  3.Bg2 Nc6|Nf3 d5 g3 c5 Bg2 Nc6
A08|Réti Açılışı|KIA, 2...c5 + 3...g6|Nf3 d5 g3 c5 Bg2 g6 O-O Bg7
A08|Réti Açılışı|KIA, 2...c5 + 3...g6|Nf3 d5 g3 c5 Bg2 g6 O-O Bg7 d3
A08|Réti Açılışı|KIA, 2...c5 + 3...g6|Nf3 d5 g3 c5 Bg2 g6 O-O Bg7 d3 Nf6
A08|Réti Açılışı|KIA, 2...c5 + 3...g6|Nf3 d5 g3 c5 Bg2 g6 O-O Bg7 d3 Nf6 Nbd2 O-O
