# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Aile adları Türkçeleştirildi; varyant adları kaynaktaki gibi.
B01|İskandinav Savunması|2...Qxd5, Main Line, 8.Qe2 Bb4 9.O-O-O|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4 Bf5 Bd2 e6 Qe2 Bb4 O-O-O
B01|İskandinav Savunması|2...Qxd5, Main Line, 8.Qe2 Bb4 9.a3|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 c6 Bc4 Bf5 Bd2 e6 Qe2 Bb4 a3
B01|İskandinav Savunması|2.d3|e4 d5 d3
B01|İskandinav Savunması|2.e5|e4 d5 e5
B01|İskandinav Savunması|2.exd5|e4 d5 exd5
B01|İskandinav Savunması|Anderssen Counterattack|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 e5
B01|İskandinav Savunması|Anderssen Counterattack, 5.dxe5|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 e5 dxe5
B01|İskandinav Savunması|Anderssen Counterattack, Collijn Variation|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 e5 Nf3 Bg4
B01|İskandinav Savunması|Anderssen Counterattack, Goteborg Variation|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 e5 Nf3
B01|İskandinav Savunması|Böhnke Gambit|e4 d5 exd5 e5
B01|İskandinav Savunması|Grünfeld Variation|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bf5 Ne5 c6 g4
B01|İskandinav Savunması|Icelandic Gambit|e4 d5 exd5 Nf6 c4 e6
B01|İskandinav Savunması|Icelandic Gambit Accepted|e4 d5 exd5 Nf6 c4 e6 dxe6
B01|İskandinav Savunması|Icelandic Gambit Accepted|e4 d5 exd5 Nf6 c4 e6 dxe6 Bxe6
B01|İskandinav Savunması|Icelandic Gambit, 5.Nf3|e4 d5 exd5 Nf6 c4 e6 dxe6 Bxe6 Nf3
B01|İskandinav Savunması|Icelandic Gambit, 5.d4|e4 d5 exd5 Nf6 c4 e6 dxe6 Bxe6 d4
B01|İskandinav Savunması|Lasker Variation|e4 d5 exd5 Qxd5 Nc3 Qa5 d4 Nf6 Nf3 Bg4 h3
B01|İskandinav Savunması|Marshall Variation|e4 d5 exd5 Nf6 d4 Nxd5
B01|İskandinav Savunması|Marshall, 4.Nf3|e4 d5 exd5 Nf6 d4 Nxd5 Nf3
B01|İskandinav Savunması|Marshall, 4.Nf3 Bf5|e4 d5 exd5 Nf6 d4 Nxd5 Nf3 Bf5
B01|İskandinav Savunması|Marshall, 4.Nf3 Bg4|e4 d5 exd5 Nf6 d4 Nxd5 Nf3 Bg4
B01|İskandinav Savunması|Marshall, 4.Nf3 Bg4 5.Be2|e4 d5 exd5 Nf6 d4 Nxd5 Nf3 Bg4 Be2
B01|İskandinav Savunması|Marshall, 4.Nf3 Bg4 5.Be2 e6|e4 d5 exd5 Nf6 d4 Nxd5 Nf3 Bg4 Be2 e6
B01|İskandinav Savunması|Marshall, 4.Nf3 g6|e4 d5 exd5 Nf6 d4 Nxd5 Nf3 g6
B01|İskandinav Savunması|Marshall, 4.Nf3 g6 5.Be2|e4 d5 exd5 Nf6 d4 Nxd5 Nf3 g6 Be2
B01|İskandinav Savunması|Marshall, 4.Nf3 g6 5.Be2 Bg7|e4 d5 exd5 Nf6 d4 Nxd5 Nf3 g6 Be2 Bg7
B01|İskandinav Savunması|Marshall, 4.c4|e4 d5 exd5 Nf6 d4 Nxd5 c4
B01|İskandinav Savunması|Marshall, 4.c4 Nb6|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nc3|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nc3
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nc3 e5|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nc3 e5
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3
B01|İskandinav Savunması|Marshall, 4.c4 Nb6 5.Nf3 Bg4|e4 d5 exd5 Nf6 d4 Nxd5 c4 Nb6 Nf3 Bg4
