# ECO | Aile | Varyant | SAN hamleleri
# Kaynak: Scid vs. PC scid.eco (Shane Hudson ve diğerleri, GPL).
# Açılış adları kaynaktaki gibi, İngilizce.
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.Re1|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 Re1
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.h3|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 h3
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.Re1 Ng4|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 Re1 Ng4
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.Re1 Qa5|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 Re1 Qa5
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.h3 Qa5|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 h3 Qa5
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.h3 Qb6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 h3 Qb6
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.h3 Ra6|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 h3 Ra6
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.h3 Qa5 13.Re1|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 h3 Qa5 Re1
A59|Benko Gambit: 7.e4|Main Line, 11...Nbd7 12.h3 Qb6 13.Re1|d4 Nf6 c4 c5 d5 b5 cxb5 a6 bxa6 Bxa6 Nc3 d6 e4 Bxf1 Kxf1 g6 g3 Bg7 Kg2 O-O Nf3 Nbd7 h3 Qb6 Re1
